Model,Scenario,Region,Variable,Unit,1990,1995,2000,2005,2007,2008,2010,2011,2012,2013,2014,2015,2018,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150,Country,Species
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CH4|AFOLU,Mt CH4/yr,,,,2.7725,,,2.7858,,,,,2.8173,,2.8312,,,,,2.832,2.8098,,,,,,,,,,,,,,,,,,Thailand,CH4
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|AFOLU,Mt CO2/yr,,,,15.9155,,,15.8358,,,,,15.2753,,14.4037,,,,,11.866,8.8012,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,240.8221,,,260.7369,,,,,290.1174,,323.5334,,,,,367.9694,411.8668,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,139.3973,,,144.3676,,,,,154.1514,,170.5149,,,,,191.8893,211.0034,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,79.0237,,,80.5801,,,,,84.3532,,90.8942,,,,,100.0533,107.6439,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2/yr,,,,22.8949,,,23.404,,,,,24.4379,,26.9307,,,,,30.0374,32.4724,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|Energy|Demand|Transportation,Mt CO2/yr,,,,37.4787,,,40.3835,,,,,45.3603,,52.69,,,,,61.7986,70.887,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|CO2|Energy|Supply,Mt CO2/yr,,,,101.4248,,,116.3693,,,,,135.966,,153.0185,,,,,176.0801,200.8634,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,BaU,THA,Emissions|N2O|AFOLU,kt N2O/yr,,,,47.5791,,,49.9683,,,,,52.0779,,53.8283,,,,,55.475,56.9346,,,,,,,,,,,,,,,,,,Thailand,N2O
AIM/Hub-Thailand 2.0,RED1,THA,Emissions|CH4|AFOLU,Mt CH4/yr,,,,2.7725,,,2.7881,,,,,2.82,,2.8335,,,,,2.6047,2.3097,,,,,,,,,,,,,,,,,,Thailand,CH4
AIM/Hub-Thailand 2.0,RED1,THA,Emissions|CO2|AFOLU,Mt CO2/yr,,,,15.9155,,,15.8513,,,,,15.3188,,14.4701,,,,,10.3952,6.3916,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,RED1,THA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,240.8221,,,254.31,,,,,280.7049,,305.7375,,,,,322.5876,338.8733,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,RED1,THA,Emissions|CO2|Energy|Demand,Mt CO2/yr,,,,139.3973,,,147.0637,,,,,158.1836,,174.8089,,,,,190.5966,203.1758,,,,,,,,,,,,,,,,,,Thailand,CO2
AIM/Hub-Thailand 2.0,RED1,THA,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,,,,79.0237,,,81.9008,,,,,86.5247,,93.0959,,,,,96.2145,97.3014,,,,,,,,,,,,,,,,,,Thailand,CO2
